"","coef","exp(coef)","se(coef)","z","Pr(>|z|)","exp(coef)","exp(-coef)","lower .95","upper .95"
"A1C_1:2",0.190605515041071,1.20998203820655,0.090204293986057,2.11304259052827,0.0345971226817921,1.20998203820655,0.826458549320463,1.01390412313528,1.44397926724589
"Temperature_1:2",-0.456857193800746,0.633270768597291,0.121563042352049,-3.75819151085147,0.000171145872293541,0.633270768597291,1.57910336239745,0.499016369748301,0.803644711218751
"Active_1:2",-0.361776493161302,0.696438009105444,0.0659437453749435,-5.48613808791585,4.10815805986296e-08,0.696438009105444,1.4358779775453,0.611999472069407,0.792526664911481
"Age_1:2",0.518128634301659,1.6788829042537,0.0495940216789701,10.447401052804,1.50595527454888e-25,1.6788829042537,0.595634154988624,1.52337175491133,1.85026917894996
"Female_1:2",0.134580922087604,1.14405723475641,0.072071959185532,1.86731321873959,0.0618578605109273,1.14405723475641,0.874082143462796,0.99334472289855,1.31763619036425
"A1C_1:3",0.765010678722252,2.1490173232918,0.148187949168915,5.16243515760003,2.43757823672532e-07,2.1490173232918,0.465328961829042,1.60731909936262,2.87327852797844
"Temperature_1:3",-0.584967735582519,0.557123836798255,0.204217131297112,-2.86444007839607,0.00417747184228447,0.557123836798255,1.79493307223564,0.373354854906764,0.83134574373305
"Active_1:3",-1.16523517950739,0.311849312840099,0.145523468451182,-8.0071976837075,1.17351772917872e-15,0.311849312840099,3.20667693923299,0.234463363296881,0.414776929544009
"Age_1:3",0.932053212288706,2.53971840900609,0.092173162459007,10.1119804010547,4.88859397959489e-24,2.53971840900609,0.393744438932246,2.11995981545007,3.04259050102562
"Female_1:3",0.0297479658050288,1.03019485689972,0.124073919667627,0.239760022772864,0.810516300281099,1.03019485689972,0.970690149831859,0.807806727134853,1.31380614636237
